"company_id","company_name"
71,"Digital River"
167,"YuMe"
628,"Sciforma"
271,"Socialbakers"
536,"Kayako"
651,"Parse"
547,"Calyx Point"
324,"InsideView"
542,"SmashFly"
555,"Qstream"
660,"Gandi"
1835,"Benchmark Email"
415,"Showpad"
1779,"Schoology"
119,"Sizmek"
488,"SAVO"
834,"iSpring QuizMaker"
835,"iSpring Suite"
844,"SMTP.com"
602,"NUVI"
713,"Ontraport"
32,"SkillSoft"
204,"Parallels"
291,"Deem"
714,"Apptricity"
329,"Actian"
868,"IdeaScale"
883,"Vroozi"
887,"Grasshopper"
373,"Broadbean"
884,"6sense"
729,"PowerDMS"
1915,"SailThru"
1920,"BrandMaker"
145,"Outbrain"
862,"ReachForce"
423,"NetDimensions"
754,"RapidMiner"
753,"GrabCAD Workbench"
767,"Maitre'D"
44,"BenefitFocus"
63,"Apttus"
1958,"CustomerGauge"
508,"CashStar"
208,"Alfresco"
455,"CallSource"
410,"Velocify"
770,"VNC Connect"
944,"Curata"
777,"MadCap Flare"
1881,"prestashop"
1969,"Pypestream"
477,"Nitro Pro"
269,"Brandwatch"
970,"crowdSPRING"
100,"Glassdoor"
270,"HostGator"
84,"Quantcast"
711,"BetterWorks"
971,"GNU Emacs"
972,"iMeet"
692,"Call Box"
1765,"Hudson"
268,"IgnitionOne"
465,"Booker Software"
501,"Marketwired"
982,"Skura"
1018,"Telnyx"
236,"Spiceworks"
507,"bitly"
558,"Dialwebhosting"
559,"MindJet"
739,"Telmetrics"
1011,"Ingeniux CMS"
831,"Transifex"
178,"OpenX"
403,"Moz"
983,"Todoist"
66,"HireRight"
350,"Percolate"
672,"GotPrint"
634,"Envoy"
673,"Photobucket"
1030,"BizTalk360"
568,"Act-On"
393,"OpenStack"
763,"SiteSpect"
1048,"Issuetrak"
173,"Accela"
395,"ETO Software"
64,"MaritzCX"
433,"BSD Tools"
859,"UXPin"
1910,"outboundengine"
710,"Zimbra Collaboration"
394,"ShopKeep POS"
137,"AeroHive"
69,"LivePerson"
396,"Brainshark"
2000,"Rocketrip"
266,"Videology"
951,"Wishpond"
803,"Chartbeat"
939,"Recruiterbox"
